series,time,value
Z,4:46:35,20556
Z,4:46:35,21115
Z,4:46:35,19231
Z,4:46:35,16073
Z,4:46:36,12998
Z,4:46:36,10578
Z,4:46:36,8174
Z,4:46:36,5981
Z,4:46:36,5299
Z,4:46:36,6845
Z,4:46:36,10110
Z,4:46:36,14323
Z,4:46:36,18529
Z,4:46:36,21901
Z,4:46:36,23696
Z,4:46:36,24941
Z,4:46:36,26433
Z,4:46:36,27368
Z,4:46:36,27385
Z,4:46:36,26949
Z,4:46:36,26478
Z,4:46:36,25537
Z,4:46:36,24042
Z,4:46:36,22389
Z,4:46:36,20803
Z,4:46:36,19167
Z,4:46:36,17319
Z,4:46:36,15408
Z,4:46:36,13766
Z,4:46:36,12595
Z,4:46:36,11335
Z,4:46:36,10269
Z,4:46:36,9765
Z,4:46:36,8233
Z,4:46:36,5776
Z,4:46:36,5402
Z,4:46:36,7637
Z,4:46:36,8967
Z,4:46:36,8313
Z,4:46:36,8233
Z,4:46:36,9883
Z,4:46:36,12478
Z,4:46:36,14669
Z,4:46:36,15825
Z,4:46:36,15862
Z,4:46:36,15359
Z,4:46:36,15858
Z,4:46:36,17471
Z,4:46:36,19591
Z,4:46:36,21594
Z,4:46:36,22992
Z,4:46:36,23956
Z,4:46:36,24077
Z,4:46:36,23491
Z,4:46:36,22913
Z,4:46:36,22644
Z,4:46:36,22036
Z,4:46:36,20867
Z,4:46:36,19976
Z,4:46:36,19691
Z,4:46:36,19491
Z,4:46:36,18546
Z,4:46:36,17943
Z,4:46:36,17998
Z,4:46:36,17738
Z,4:46:36,17091
Z,4:46:36,16321
Z,4:46:36,15468
Z,4:46:36,14299
Z,4:46:36,13537
Z,4:46:36,13252
Z,4:46:36,13314
Z,4:46:36,13138
Z,4:46:36,12606
Z,4:46:36,12933
Z,4:46:36,13545
Z,4:46:36,14195
Z,4:46:36,15163
Z,4:46:36,16131
Z,4:46:36,17329
Z,4:46:36,18606
Z,4:46:36,19521
Z,4:46:36,19942
Z,4:46:36,19824
Z,4:46:36,18703
Z,4:46:36,16914
Z,4:46:36,15598
Z,4:46:36,15054
Z,4:46:36,14721
Z,4:46:36,13378
Z,4:46:36,11517
Z,4:46:36,9429
Z,4:46:36,7188
Z,4:46:36,6452
Z,4:46:36,7235
Z,4:46:36,9724
Z,4:46:36,13896
Z,4:46:36,17094
Z,4:46:36,18281
Z,4:46:36,20147
Z,4:46:36,22634
Z,4:46:36,22476
Z,4:46:36,19825
Z,4:46:36,15871
Z,4:46:37,11403
Z,4:46:37,8713
Z,4:46:37,7771
Z,4:46:37,7824
Z,4:46:37,8414
Z,4:46:37,9880
Z,4:46:37,13038
Z,4:46:37,16308
Z,4:46:37,18643
Z,4:46:37,19707
Z,4:46:37,20015
Z,4:46:37,20388
Z,4:46:37,21322
Z,4:46:37,22953
Z,4:46:37,24679
Z,4:46:37,25945
Z,4:46:37,26450
Z,4:46:37,26306
Z,4:46:37,25542
Z,4:46:37,24023
Z,4:46:37,22595
Z,4:46:37,21431
Z,4:46:37,20142
Z,4:46:37,18929
Z,4:46:37,18052
Z,4:46:37,17848
Z,4:46:37,16983
Z,4:46:37,15491
Z,4:46:37,14271
Z,4:46:37,13383
Z,4:46:37,11882
Z,4:46:37,10351
Z,4:46:37,10701
Z,4:46:37,11598
Z,4:46:37,12127
Z,4:46:37,12338
Z,4:46:37,12859
Z,4:46:37,13979
Z,4:46:37,14976
Z,4:46:37,15394
Z,4:46:37,15120
Z,4:46:37,14199
Z,4:46:37,13225
Z,4:46:37,13977
Z,4:46:37,16740
Z,4:46:37,20171
Z,4:46:37,22904
Z,4:46:37,24671
Z,4:46:37,25240
Z,4:46:37,24764
Z,4:46:37,23944
Z,4:46:37,22879
Z,4:46:37,21683
Z,4:46:37,20627
Z,4:46:37,19659
Z,4:46:37,18669
Z,4:46:37,18125
Z,4:46:37,17387
Z,4:46:37,16552
Z,4:46:37,16187
Z,4:46:37,15631
Z,4:46:37,14638
Z,4:46:37,13760
Z,4:46:37,13422
Z,4:46:37,13058
Z,4:46:37,12926
Z,4:46:37,13152
Z,4:46:37,13548
Z,4:46:37,14377
Z,4:46:37,15103
Z,4:46:37,15782
Z,4:46:37,16615
Z,4:46:37,17172
Z,4:46:37,17509
Z,4:46:37,17851
Z,4:46:37,18070
Z,4:46:37,18258
Z,4:46:37,18325
Z,4:46:37,18309
Z,4:46:37,18649
Z,4:46:37,19012
Z,4:46:37,19043
Z,4:46:37,19015
Z,4:46:37,18517
Z,4:46:37,17239
Z,4:46:37,16140
Z,4:46:37,15868
Z,4:46:37,16593
Z,4:46:37,17444
Z,4:46:37,17152
Z,4:46:37,16225
Z,4:46:37,14851
Z,4:46:37,13684
Z,4:46:37,13244
Z,4:46:37,12067
Z,4:46:37,12694
Z,4:46:37,17028
Z,4:46:37,20290
Z,4:46:37,20436
Z,4:46:37,20838
Z,4:46:38,22307
Z,4:46:38,22110
Z,4:46:38,20002
Z,4:46:38,17529
Z,4:46:38,15430
Z,4:46:38,14041
Z,4:46:38,12359
Z,4:46:38,10574
Z,4:46:38,9813
Z,4:46:38,10171
Z,4:46:38,11591
Z,4:46:38,13416
Z,4:46:38,14748
Z,4:46:38,15563
Z,4:46:38,16360
Z,4:46:38,17653
Z,4:46:38,19892
Z,4:46:38,22461
Z,4:46:38,24548
Z,4:46:38,25838
Z,4:46:38,25937
Z,4:46:38,24636
Z,4:46:38,22366
Z,4:46:38,19990
Z,4:46:38,18273
Z,4:46:38,16999
Z,4:46:38,15683
Z,4:46:38,14006
Z,4:46:38,12247
Z,4:46:38,11674
Z,4:46:38,11340
Z,4:46:38,10632
Z,4:46:38,11041
Z,4:46:38,12523
Z,4:46:38,13251
Z,4:46:38,13583
Z,4:46:38,14856
Z,4:46:38,15840
Z,4:46:38,16111
Z,4:46:38,16388
Z,4:46:38,17293
Z,4:46:38,18608
Z,4:46:38,19448
Z,4:46:38,19237
Z,4:46:38,18102
Z,4:46:38,17218
Z,4:46:38,16897
Z,4:46:38,16930
Z,4:46:38,18026
Z,4:46:38,19873
Z,4:46:38,21585
Z,4:46:38,22679
Z,4:46:38,22481
Z,4:46:38,21639
Z,4:46:38,20514
Z,4:46:38,19038
Z,4:46:38,17969
Z,4:46:38,16746
